question,answer
What is OOP?,"Object-Oriented Programming (OOP) is a programming paradigm that organizes code around objects and classes. It promotes modularity, reusability, and maintainability through four core principles: Encapsulation, Abstraction, Inheritance, and Polymorphism."
Explain polymorphism,"Polymorphism means 'many forms'. It allows a single interface to represent different underlying data types. In Java, it occurs via method overloading (compile-time) and method overriding (runtime), making code flexible and extensible."
What is inheritance in Java?,"Inheritance allows one class (child/subclass) to acquire the properties and methods of another class (parent/superclass) using the 'extends' keyword. It promotes code reuse and establishes an IS-A relationship between classes."
What is encapsulation?,"Encapsulation is the bundling of data (variables) and methods that operate on that data into a single unit (class), while restricting direct access to internal state using access modifiers like private, protected, and public."
What is abstraction?,"Abstraction hides complex implementation details and shows only the essential features of an object. In Java, it is achieved through abstract classes and interfaces, allowing programmers to focus on what an object does rather than how it does it."
What is a class in Java?,"A class is a blueprint or template for creating objects. It defines the properties (fields) and behaviors (methods) that the objects created from it will have."
What is an object in Java?,"An object is an instance of a class. It has a state (defined by its attributes) and behavior (defined by its methods). Objects interact with each other to build applications."
What is an interface in Java?,"An interface is a reference type in Java that contains only abstract methods (prior to Java 8) and constants. A class implements an interface to guarantee it provides specific behaviors. From Java 8+, interfaces can have default and static methods."
What is an abstract class?,"An abstract class cannot be instantiated directly. It may contain abstract methods (without body) and concrete methods (with body). Subclasses must implement all abstract methods. It is used to provide a common base with shared logic."
Difference between abstract class and interface?,"An abstract class can have constructors, instance variables, and both abstract and concrete methods, allowing partial implementation. An interface traditionally only declares method signatures (a contract). A class can implement multiple interfaces but extend only one abstract class."
What is method overloading?,"Method overloading allows multiple methods in the same class to have the same name but different parameters (different type, number, or order). It is resolved at compile time and is an example of compile-time polymorphism."
What is method overriding?,"Method overriding allows a subclass to provide a specific implementation of a method that is already defined in its superclass. The method must have the same name, return type, and parameters. It is resolved at runtime (runtime polymorphism)."
What is a constructor?,"A constructor is a special method used to initialize objects. It has the same name as the class and no return type. Java provides a default constructor if none is defined. Constructors can be overloaded."
What is the difference between == and equals() in Java?,"== compares object references (memory addresses), while equals() compares the actual content (values) of objects. For strings, always use equals() to compare values."
What is the JVM?,"The Java Virtual Machine (JVM) is an abstract machine that provides a runtime environment to execute Java bytecode. It makes Java platform-independent by converting bytecode into machine-specific code."
What is the difference between JDK, JRE, and JVM?,"JVM (Java Virtual Machine) executes bytecode. JRE (Java Runtime Environment) includes JVM plus libraries needed to run Java programs. JDK (Java Development Kit) includes JRE plus development tools like the compiler (javac)."
What is garbage collection in Java?,"Garbage collection is the automatic process of identifying and freeing memory occupied by objects that are no longer referenced. Java handles memory management automatically through the garbage collector, preventing memory leaks."
What is a static method?,"A static method belongs to the class rather than to any instance. It can be called without creating an object. Static methods can only directly access other static members of the class."
What is the final keyword in Java?,"The 'final' keyword can be applied to variables (making them constants), methods (preventing overriding), and classes (preventing inheritance). A final variable must be initialized once and cannot be reassigned."
What is exception handling in Java?,"Exception handling is a mechanism to handle runtime errors gracefully using try, catch, finally, throw, and throws keywords. It prevents program crashes and allows the developer to define custom error-handling logic."
What is normalization in DBMS?,"Normalization is the process of organizing a relational database to reduce data redundancy and improve data integrity. It involves decomposing tables into smaller tables and defining relationships between them, following normal forms (1NF, 2NF, 3NF, BCNF)."
What is a primary key?,"A primary key is a column (or set of columns) in a table that uniquely identifies each row. It must be unique and cannot contain NULL values. Each table can have only one primary key."
What is a foreign key?,"A foreign key is a column (or set of columns) in one table that refers to the primary key in another table. It establishes and enforces a link between the two tables, ensuring referential integrity."
What is SQL?,"SQL (Structured Query Language) is the standard language used to communicate with relational databases. It is used to create, read, update, and delete data (CRUD operations) and manage database structures."
What is a JOIN in SQL?,"A JOIN clause combines rows from two or more tables based on a related column. Types include INNER JOIN (matching rows), LEFT JOIN (all left rows + matches), RIGHT JOIN (all right rows + matches), and FULL OUTER JOIN (all rows from both)."
What is an index in DBMS?,"An index is a database object that speeds up the retrieval of rows from a table. It works like a book's index — instead of scanning the whole table, the database uses the index to find data quickly. However, indexes slow down INSERT/UPDATE/DELETE operations."
What is ACID in DBMS?,"ACID stands for Atomicity (all or nothing), Consistency (data remains valid), Isolation (transactions don't interfere), and Durability (committed data persists). These properties ensure reliable database transactions."
What is a transaction in DBMS?,"A transaction is a sequence of one or more SQL operations treated as a single logical unit. It either fully completes (commit) or fully rolls back (rollback) in case of failure, maintaining data integrity."
What is a view in SQL?,"A view is a virtual table based on the result of a SQL query. It does not store data itself but provides a way to simplify complex queries, restrict access to data, and present data in a specific format."
Difference between DELETE, TRUNCATE, and DROP?,"DELETE removes specific rows with a WHERE clause and can be rolled back. TRUNCATE removes all rows from a table faster but cannot be rolled back (in most DBMS). DROP removes the entire table structure and its data permanently."
What is a stack?,"A stack is a linear data structure that follows the LIFO (Last In, First Out) principle. Elements are added (push) and removed (pop) from the same end called the top. Common uses include undo operations, expression evaluation, and recursion."
What is a queue?,"A queue is a linear data structure that follows the FIFO (First In, First Out) principle. Elements are added at the rear (enqueue) and removed from the front (dequeue). Common uses include scheduling, print queues, and BFS traversal."
What is a linked list?,"A linked list is a linear data structure where each element (node) contains data and a pointer to the next node. Unlike arrays, linked lists are dynamic in size. Types include singly linked, doubly linked, and circular linked lists."
What is binary search?,"Binary search is an efficient algorithm for finding an element in a sorted array. It works by repeatedly halving the search space — comparing the target with the middle element and eliminating one half. Time complexity: O(log n)."
What is a binary tree?,"A binary tree is a hierarchical data structure where each node has at most two children: left and right. It is the foundation for binary search trees, heaps, and many algorithms."
What is a binary search tree?,"A BST is a binary tree where the left child is smaller than the parent and the right child is larger. It allows efficient searching, insertion, and deletion in O(log n) average time."
What is sorting?,"Sorting is the process of arranging data in a specific order (ascending or descending). Common algorithms include Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, and Heap Sort."
What is the difference between merge sort and quick sort?,"Merge Sort divides the array in half, recursively sorts, and merges — O(n log n) always, but uses extra space. Quick Sort picks a pivot and partitions — O(n log n) average but O(n²) worst case, and is in-place."
What is a hash table?,"A hash table is a data structure that stores key-value pairs. It uses a hash function to map keys to indices in an array, allowing average O(1) time for search, insert, and delete operations."
What is recursion?,"Recursion is a programming technique where a function calls itself to solve smaller instances of the same problem. It requires a base case to stop the recursion. Examples include factorial, Fibonacci, and tree traversal."
What is time complexity?,"Time complexity measures how the runtime of an algorithm grows relative to the input size. It is expressed using Big O notation — O(1) constant, O(log n) logarithmic, O(n) linear, O(n log n), O(n²) quadratic, etc."
What is space complexity?,"Space complexity measures the amount of memory an algorithm uses relative to input size. It includes both auxiliary space (extra space used) and input space."
What is a graph?,"A graph is a non-linear data structure consisting of vertices (nodes) and edges (connections). Graphs can be directed or undirected, weighted or unweighted. Applications include social networks, maps, and dependency resolution."
What is BFS?,"Breadth-First Search (BFS) is a graph traversal algorithm that explores all neighbors of a node before moving to the next level. It uses a queue and is used for shortest path in unweighted graphs."
What is DFS?,"Depth-First Search (DFS) is a graph traversal algorithm that explores as far as possible along a branch before backtracking. It uses a stack (or recursion) and is used for cycle detection, topological sort, and pathfinding."
What is Python?,"Python is a high-level, interpreted, general-purpose programming language known for its simplicity and readability. It supports multiple paradigms including procedural, object-oriented, and functional programming."
What are Python lists?,"A Python list is an ordered, mutable collection of items that can hold elements of different data types. Lists support indexing, slicing, and various built-in methods like append(), remove(), and sort()."
What is the difference between a list and a tuple in Python?,"A list is mutable (can be changed after creation) and uses square brackets []. A tuple is immutable (cannot be changed) and uses parentheses (). Tuples are faster and used for fixed data."
What is a dictionary in Python?,"A dictionary is an unordered, mutable collection of key-value pairs in Python. Keys must be unique and immutable. It allows fast lookup by key using O(1) average time."
What are Python decorators?,"A decorator is a function that takes another function and extends its behavior without explicitly modifying it. Decorators use the @symbol and are commonly used for logging, authentication, and caching."
What is list comprehension in Python?,"List comprehension is a concise way to create lists in Python. Example: [x**2 for x in range(10)] creates a list of squares. It is faster and more readable than a traditional for loop."
What is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but copies references to the original objects inside. A deep copy creates a completely independent copy of the object and all objects within it. Use copy.deepcopy() for deep copying."
What is OS?,"An Operating System (OS) is system software that manages hardware resources and provides services for application software. Examples include Windows, Linux, and macOS. Functions include process management, memory management, and file system handling."
What is a process vs a thread?,"A process is an independent program in execution with its own memory space. A thread is a smaller unit within a process that shares the same memory. Threads are lighter and faster to create than processes."
What is deadlock?,"Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by the other. The four necessary conditions are: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait."
What is virtual memory?,"Virtual memory is a memory management technique that gives processes the illusion of having more memory than physically available by using disk space as an extension of RAM. It allows larger programs to run on limited physical memory."
What is paging?,"Paging is a memory management scheme that eliminates external fragmentation. The physical memory is divided into fixed-size frames and logical memory into pages of the same size. The OS uses a page table to map logical to physical addresses."
What is a semaphore?,"A semaphore is a synchronization tool used to control access to shared resources by multiple processes. A binary semaphore (0 or 1) works like a mutex. A counting semaphore allows a defined number of concurrent accesses."
What is the difference between TCP and UDP?,"TCP (Transmission Control Protocol) is connection-oriented, reliable, and ensures data delivery in order — suitable for web, email, and file transfer. UDP (User Datagram Protocol) is connectionless, faster, but does not guarantee delivery — suitable for video streaming and gaming."
What is HTTP vs HTTPS?,"HTTP (HyperText Transfer Protocol) transfers data in plain text. HTTPS adds a layer of encryption using SSL/TLS, making data transfer secure. HTTPS is essential for websites handling sensitive data."
What is an API?,"An API (Application Programming Interface) is a set of rules that allows software applications to communicate with each other. REST APIs use HTTP methods (GET, POST, PUT, DELETE) and return data usually in JSON format."
What is cloud computing?,"Cloud computing is the delivery of computing services — servers, storage, databases, networking, software — over the internet ('the cloud') on a pay-as-you-go basis. Major providers include AWS, Azure, and Google Cloud."
What is machine learning?,"Machine learning is a subset of artificial intelligence where systems learn and improve from experience (data) without being explicitly programmed. It includes supervised learning, unsupervised learning, and reinforcement learning."
What is the difference between AI and ML?,"Artificial Intelligence (AI) is the broad concept of machines mimicking human intelligence. Machine Learning (ML) is a subset of AI that focuses on systems learning from data to improve performance on tasks without explicit programming."
Tell me about yourself,"A strong answer highlights your educational background, technical skills, projects, and career goals — tailored to the role. Example: 'I am a final-year Computer Science student with strong skills in Java and Python. I have built projects using Flask and have a passion for solving real-world problems with technology.'"
What are your strengths?,"Focus on strengths relevant to the role with concrete examples. Common strong answers include: problem-solving ability, quick learning, teamwork, attention to detail, and strong communication skills. Always back them up with specific situations."
What are your weaknesses?,"Choose a genuine weakness that you are actively improving. Example: 'I used to struggle with public speaking, but I have been taking online courses and volunteering to present in team meetings, which has significantly improved my confidence.'"
Why should we hire you?,"Highlight your unique combination of technical skills, relevant projects, adaptability, and enthusiasm for the role. Show that you have researched the company and explain specifically how you can add value to their team."
Where do you see yourself in 5 years?,"Show ambition aligned with the company's growth. Example: 'I see myself growing into a senior software engineer role, leading projects, and contributing to meaningful products. I am excited about the learning opportunities this company offers.'"
Why do you want to work here?,"Research the company before answering. Mention specific things — their products, culture, growth, mission, or technologies they use. Show genuine interest and connect their values to your own career goals."
What is your greatest achievement?,"Describe a specific accomplishment using the STAR method (Situation, Task, Action, Result). Quantify the impact wherever possible — e.g., 'I optimized a database query that reduced load time by 40%.'"
How do you handle pressure and deadlines?,"Explain your time management and prioritization strategy. Example: 'I break tasks into smaller milestones, prioritize based on urgency and impact, and communicate proactively with my team if I foresee any risks to the deadline.'"
Are you a team player?,"Give a concrete example of collaboration. Example: 'Yes — during my final year project, our team of four had conflicting approaches. I organized a meeting where we discussed each option and reached a consensus that combined the best ideas, resulting in a successful outcome.'"
Do you have any questions for us?,"Always ask thoughtful questions — about the team structure, technologies used, growth opportunities, onboarding process, or the challenges the team is currently facing. It shows genuine interest."
What is your expected salary?,"Research the market rate for the role in your location and experience level. Give a range based on your research. Example: 'Based on my research and skills, I am expecting between X and Y, but I am open to discussion.'"
What is agile methodology?,"Agile is an iterative software development approach that emphasizes collaboration, flexibility, and delivering working software in short cycles called sprints (typically 1–4 weeks). It responds to change over following a rigid plan."
What is Scrum?,"Scrum is an Agile framework for managing and completing complex projects. It uses fixed-length sprints, daily standups, sprint planning, sprint review, and retrospective ceremonies, with roles like Scrum Master, Product Owner, and Development Team."
What is version control?,"Version control is a system that tracks changes to files over time, allowing multiple people to collaborate and revert to previous versions. Git is the most widely used version control system."
What is Git?,"Git is a distributed version control system that tracks changes in source code during development. Common commands include git init, git clone, git add, git commit, git push, git pull, git merge, and git branch."
What is the difference between git merge and git rebase?,"git merge combines two branches by creating a new merge commit, preserving history. git rebase moves or replays commits from one branch onto another, creating a cleaner linear history but rewriting commit history."
What is Docker?,"Docker is a platform that uses containerization to package applications and their dependencies into isolated containers. Containers are lightweight, portable, and ensure that the application runs consistently across different environments."
What is REST API?,"A REST (Representational State Transfer) API is an architectural style for building web services. It uses standard HTTP methods (GET, POST, PUT, DELETE), is stateless, and typically returns data in JSON or XML format."
What is the difference between SQL and NoSQL?,"SQL databases are relational, use structured tables and schemas, and are ideal for structured data (MySQL, PostgreSQL). NoSQL databases are non-relational, schema-flexible, and designed for unstructured or semi-structured data at scale (MongoDB, Redis, Cassandra)."
What is a microservice?,"Microservices is an architectural style that structures an application as a collection of small, independently deployable services, each responsible for a specific business function. It improves scalability and allows independent development and deployment."